hydrophone 0,hydrophone 1,hydrophone 2,hydrophone 3
0.031738281,0.043945312,-0.004882812,-0.029296875
0.029296875,0.043945312,0.000000000,-0.024414062
0.034179688,0.046386719,-0.002441406,-0.024414062
0.031738281,0.043945312,0.000000000,-0.021972656
0.036621094,0.048828125,0.000000000,-0.024414062
0.034179688,0.046386719,0.002441406,-0.024414062
0.036621094,0.048828125,0.004882812,-0.019531250
0.039062500,0.048828125,0.002441406,-0.021972656
0.039062500,0.046386719,0.004882812,-0.019531250
0.036621094,0.048828125,0.004882812,-0.019531250
0.041503906,0.046386719,0.004882812,-0.017089844
0.043945312,0.051269531,0.007324219,-0.017089844
0.041503906,0.048828125,0.007324219,-0.014648438
0.043945312,0.048828125,0.004882812,-0.017089844
0.041503906,0.053710938,0.007324219,-0.014648438
0.043945312,0.051269531,0.009765625,-0.009765625
0.043945312,0.051269531,0.009765625,-0.014648438
0.043945312,0.053710938,0.009765625,-0.014648438
0.048828125,0.051269531,0.009765625,-0.012207031
0.048828125,0.053710938,0.012207031,-0.009765625
0.043945312,0.053710938,0.014648438,-0.007324219
0.048828125,0.053710938,0.012207031,-0.007324219
0.046386719,0.053710938,0.012207031,-0.009765625
0.048828125,0.056152344,0.012207031,-0.009765625
0.051269531,0.058593750,0.014648438,-0.007324219
0.046386719,0.053710938,0.012207031,-0.007324219
0.051269531,0.053710938,0.012207031,-0.007324219
0.051269531,0.058593750,0.014648438,-0.004882812
0.051269531,0.058593750,0.014648438,-0.002441406
0.048828125,0.061035156,0.017089844,-0.004882812
0.048828125,0.056152344,0.012207031,-0.004882812
0.051269531,0.058593750,0.014648438,-0.002441406
0.048828125,0.053710938,0.014648438,-0.004882812
0.051269531,0.053710938,0.012207031,-0.002441406
0.051269531,0.058593750,0.014648438,-0.002441406
0.051269531,0.058593750,0.012207031,-0.002441406
0.051269531,0.056152344,0.009765625,-0.002441406
0.048828125,0.056152344,0.007324219,-0.002441406
0.046386719,0.051269531,0.007324219,-0.002441406
0.048828125,0.051269531,0.007324219,-0.004882812
0.051269531,0.053710938,0.007324219,-0.002441406
0.046386719,0.053710938,0.004882812,-0.002441406
0.048828125,0.048828125,0.004882812,-0.007324219
0.048828125,0.051269531,0.004882812,-0.004882812
0.048828125,0.048828125,0.002441406,-0.007324219
0.048828125,0.051269531,0.002441406,-0.004882812
0.048828125,0.048828125,0.002441406,-0.004882812
0.048828125,0.048828125,0.002441406,-0.009765625
0.046386719,0.048828125,-0.002441406,-0.007324219
0.043945312,0.051269531,0.002441406,-0.004882812
0.043945312,0.043945312,0.000000000,-0.007324219
0.041503906,0.046386719,0.000000000,-0.007324219
0.043945312,0.046386719,-0.004882812,-0.007324219
0.043945312,0.046386719,-0.004882812,-0.009765625
0.043945312,0.046386719,0.000000000,-0.004882812
0.041503906,0.041503906,-0.002441406,-0.007324219
0.043945312,0.041503906,-0.004882812,-0.009765625
0.043945312,0.046386719,-0.002441406,-0.012207031
0.043945312,0.043945312,-0.002441406,-0.009765625
0.041503906,0.039062500,-0.009765625,-0.014648438
0.041503906,0.041503906,-0.004882812,-0.012207031
0.039062500,0.041503906,-0.007324219,-0.012207031
0.039062500,0.041503906,-0.007324219,-0.012207031
0.039062500,0.041503906,-0.007324219,-0.014648438
0.036621094,0.039062500,-0.012207031,-0.019531250
0.039062500,0.041503906,-0.004882812,-0.014648438
0.039062500,0.043945312,-0.004882812,-0.012207031
0.039062500,0.041503906,-0.009765625,-0.014648438
0.036621094,0.041503906,-0.007324219,-0.017089844
0.039062500,0.041503906,-0.004882812,-0.014648438
0.036621094,0.041503906,-0.007324219,-0.017089844
0.039062500,0.041503906,-0.007324219,-0.014648438
0.039062500,0.041503906,-0.007324219,-0.014648438
0.039062500,0.041503906,-0.004882812,-0.017089844
0.041503906,0.041503906,-0.004882812,-0.009765625
0.036621094,0.041503906,-0.007324219,-0.017089844
0.036621094,0.041503906,-0.004882812,-0.017089844
0.036621094,0.043945312,-0.004882812,-0.014648438
0.034179688,0.039062500,-0.002441406,-0.014648438
0.036621094,0.039062500,-0.004882812,-0.017089844
0.039062500,0.039062500,-0.002441406,-0.019531250
0.034179688,0.041503906,-0.002441406,-0.017089844
0.039062500,0.041503906,-0.004882812,-0.019531250
0.036621094,0.039062500,-0.007324219,-0.021972656
0.034179688,0.039062500,-0.004882812,-0.019531250
0.036621094,0.039062500,-0.004882812,-0.019531250
0.039062500,0.043945312,-0.002441406,-0.017089844
0.039062500,0.041503906,-0.002441406,-0.019531250
0.039062500,0.041503906,-0.004882812,-0.021972656
0.041503906,0.046386719,-0.002441406,-0.017089844
0.041503906,0.046386719,0.000000000,-0.019531250
0.036621094,0.043945312,0.002441406,-0.019531250
0.039062500,0.043945312,0.002441406,-0.017089844
0.036621094,0.046386719,0.002441406,-0.017089844
0.041503906,0.043945312,0.002441406,-0.017089844
0.039062500,0.043945312,0.000000000,-0.019531250
0.039062500,0.046386719,0.002441406,-0.017089844
0.034179688,0.043945312,0.004882812,-0.019531250
0.039062500,0.046386719,0.002441406,-0.017089844
0.039062500,0.043945312,0.002441406,-0.017089844
0.034179688,0.046386719,0.002441406,-0.019531250
0.036621094,0.043945312,0.000000000,-0.017089844
0.036621094,0.043945312,0.000000000,-0.021972656
0.039062500,0.046386719,0.002441406,-0.019531250
0.036621094,0.043945312,0.000000000,-0.017089844
0.036621094,0.043945312,0.000000000,-0.019531250
0.036621094,0.046386719,0.000000000,-0.014648438
0.036621094,0.046386719,0.002441406,-0.017089844
0.034179688,0.046386719,-0.002441406,-0.017089844
0.039062500,0.048828125,-0.002441406,-0.017089844
0.036621094,0.048828125,-0.002441406,-0.017089844
0.036621094,0.046386719,-0.004882812,-0.019531250
0.034179688,0.046386719,-0.004882812,-0.017089844
0.036621094,0.048828125,-0.004882812,-0.017089844
0.034179688,0.048828125,-0.004882812,-0.014648438
0.036621094,0.048828125,-0.002441406,-0.017089844
0.039062500,0.046386719,-0.004882812,-0.017089844
0.034179688,0.043945312,-0.007324219,-0.019531250
0.036621094,0.046386719,-0.004882812,-0.017089844
0.039062500,0.046386719,-0.004882812,-0.017089844
0.036621094,0.048828125,-0.007324219,-0.014648438
0.039062500,0.046386719,-0.004882812,-0.017089844
0.036621094,0.051269531,-0.007324219,-0.014648438
0.039062500,0.048828125,-0.004882812,-0.014648438
0.036621094,0.046386719,-0.004882812,-0.014648438
0.039062500,0.046386719,-0.004882812,-0.014648438
0.039062500,0.046386719,-0.004882812,-0.014648438
0.036621094,0.046386719,-0.002441406,-0.017089844
0.041503906,0.051269531,-0.002441406,-0.014648438
0.039062500,0.048828125,-0.004882812,-0.017089844
0.036621094,0.046386719,-0.004882812,-0.017089844
0.036621094,0.046386719,-0.004882812,-0.014648438
0.036621094,0.048828125,-0.004882812,-0.017089844
0.034179688,0.043945312,-0.009765625,-0.019531250
0.036621094,0.046386719,-0.002441406,-0.014648438
0.039062500,0.048828125,-0.004882812,-0.019531250
0.036621094,0.046386719,-0.002441406,-0.014648438
0.036621094,0.046386719,-0.004882812,-0.017089844
0.036621094,0.043945312,-0.004882812,-0.019531250
0.041503906,0.046386719,-0.002441406,-0.014648438
0.041503906,0.048828125,0.000000000,-0.017089844
0.034179688,0.043945312,0.000000000,-0.017089844
0.039062500,0.046386719,0.000000000,-0.014648438
0.041503906,0.046386719,0.002441406,-0.014648438
0.041503906,0.048828125,0.004882812,-0.014648438
0.041503906,0.046386719,0.002441406,-0.012207031
0.041503906,0.046386719,0.002441406,-0.017089844
0.041503906,0.046386719,0.002441406,-0.009765625
0.043945312,0.048828125,0.004882812,-0.012207031
0.043945312,0.048828125,0.004882812,-0.009765625
0.039062500,0.046386719,0.004882812,-0.012207031
0.046386719,0.048828125,0.007324219,-0.009765625
0.043945312,0.051269531,0.009765625,-0.007324219
0.041503906,0.046386719,0.007324219,-0.009765625
0.046386719,0.048828125,0.004882812,-0.012207031
0.041503906,0.046386719,0.004882812,-0.009765625
0.043945312,0.048828125,0.009765625,-0.009765625
0.043945312,0.048828125,0.002441406,-0.009765625
0.043945312,0.048828125,0.004882812,-0.009765625
0.046386719,0.051269531,0.004882812,-0.004882812
0.043945312,0.048828125,0.009765625,-0.009765625
0.041503906,0.046386719,0.007324219,-0.012207031
0.041503906,0.048828125,0.004882812,-0.009765625
0.043945312,0.046386719,0.004882812,-0.007324219
0.039062500,0.046386719,0.002441406,-0.012207031
0.039062500,0.048828125,0.012207031,-0.007324219
0.036621094,0.046386719,0.009765625,-0.009765625
0.041503906,0.046386719,0.004882812,-0.009765625
0.041503906,0.046386719,0.007324219,-0.012207031
0.039062500,0.043945312,0.009765625,-0.009765625
0.036621094,0.041503906,0.004882812,-0.012207031
0.039062500,0.046386719,0.009765625,-0.009765625
0.041503906,0.046386719,0.007324219,-0.009765625
0.041503906,0.046386719,0.009765625,-0.009765625
0.043945312,0.046386719,0.007324219,-0.009765625
0.041503906,0.043945312,0.004882812,-0.009765625
0.043945312,0.046386719,0.007324219,-0.009765625
0.041503906,0.046386719,0.004882812,-0.012207031
0.043945312,0.046386719,0.004882812,-0.007324219
0.041503906,0.043945312,0.007324219,-0.009765625
0.043945312,0.043945312,0.004882812,-0.009765625
0.043945312,0.046386719,0.004882812,-0.007324219
0.041503906,0.046386719,0.002441406,-0.012207031
0.043945312,0.048828125,0.002441406,-0.009765625
0.041503906,0.048828125,0.004882812,-0.012207031
0.043945312,0.048828125,0.004882812,-0.007324219
0.039062500,0.046386719,0.000000000,-0.009765625
0.041503906,0.046386719,0.002441406,-0.007324219
0.041503906,0.046386719,0.000000000,-0.009765625
0.041503906,0.048828125,0.004882812,-0.007324219
0.041503906,0.046386719,0.000000000,-0.007324219
0.043945312,0.046386719,0.000000000,-0.007324219
0.043945312,0.046386719,0.000000000,-0.007324219
0.039062500,0.046386719,0.000000000,-0.012207031
0.041503906,0.043945312,-0.002441406,-0.007324219
0.041503906,0.043945312,-0.004882812,-0.012207031
0.041503906,0.043945312,-0.004882812,-0.012207031
0.041503906,0.046386719,0.000000000,-0.009765625
0.039062500,0.043945312,-0.004882812,-0.009765625
0.036621094,0.043945312,-0.002441406,-0.012207031
0.041503906,0.043945312,-0.002441406,-0.009765625
0.036621094,0.043945312,-0.002441406,-0.012207031
0.031738281,0.039062500,-0.007324219,-0.012207031
0.036621094,0.043945312,-0.004882812,-0.012207031
0.039062500,0.046386719,0.000000000,-0.009765625
0.039062500,0.041503906,-0.002441406,-0.012207031
0.039062500,0.043945312,-0.004882812,-0.009765625
0.039062500,0.041503906,-0.002441406,-0.009765625
0.041503906,0.041503906,-0.004882812,-0.012207031
0.041503906,0.043945312,0.000000000,-0.014648438
0.039062500,0.041503906,0.000000000,-0.012207031
0.039062500,0.043945312,-0.002441406,-0.012207031
0.039062500,0.041503906,-0.002441406,-0.017089844
0.036621094,0.043945312,0.000000000,-0.012207031
0.039062500,0.041503906,-0.004882812,-0.017089844
0.039062500,0.041503906,-0.004882812,-0.017089844
0.039062500,0.041503906,0.000000000,-0.017089844
0.036621094,0.041503906,-0.002441406,-0.014648438
0.036621094,0.036621094,-0.004882812,-0.017089844
0.036621094,0.039062500,-0.002441406,-0.017089844
0.036621094,0.039062500,-0.004882812,-0.012207031
0.036621094,0.039062500,-0.002441406,-0.017089844
0.036621094,0.039062500,0.000000000,-0.017089844
0.026855469,0.034179688,-0.007324219,-0.017089844
0.036621094,0.041503906,-0.002441406,-0.017089844
0.036621094,0.041503906,0.000000000,-0.019531250
0.034179688,0.041503906,0.000000000,-0.014648438
0.039062500,0.041503906,0.000000000,-0.017089844
0.036621094,0.046386719,0.002441406,-0.012207031
0.036621094,0.043945312,0.002441406,-0.012207031
0.036621094,0.043945312,0.000000000,-0.012207031
0.036621094,0.046386719,0.000000000,-0.014648438
0.034179688,0.046386719,0.002441406,-0.014648438
0.039062500,0.046386719,0.002441406,-0.012207031
0.036621094,0.046386719,0.002441406,-0.012207031
0.039062500,0.046386719,0.000000000,-0.009765625
0.036621094,0.046386719,-0.002441406,-0.012207031
0.039062500,0.046386719,-0.002441406,-0.014648438
0.036621094,0.048828125,-0.002441406,-0.012207031
0.036621094,0.046386719,-0.002441406,-0.014648438
0.039062500,0.046386719,-0.007324219,-0.014648438
0.039062500,0.046386719,-0.002441406,-0.009765625
0.041503906,0.048828125,0.002441406,-0.009765625
0.036621094,0.048828125,-0.002441406,-0.009765625
0.039062500,0.051269531,-0.002441406,-0.007324219
0.039062500,0.048828125,0.000000000,-0.012207031
0.036621094,0.048828125,-0.004882812,-0.012207031
0.036621094,0.046386719,-0.002441406,-0.014648438
0.039062500,0.046386719,-0.002441406,-0.014648438
0.039062500,0.048828125,-0.002441406,-0.009765625
0.036621094,0.048828125,-0.002441406,-0.009765625
0.041503906,0.046386719,-0.002441406,-0.012207031
0.034179688,0.046386719,-0.004882812,-0.012207031
0.039062500,0.046386719,-0.002441406,-0.012207031
0.034179688,0.048828125,-0.004882812,-0.014648438
0.036621094,0.046386719,-0.007324219,-0.014648438
0.036621094,0.048828125,-0.007324219,-0.014648438
0.034179688,0.046386719,-0.007324219,-0.014648438
0.034179688,0.048828125,-0.009765625,-0.014648438
0.031738281,0.046386719,-0.009765625,-0.017089844
0.036621094,0.043945312,-0.009765625,-0.014648438
0.031738281,0.043945312,-0.014648438,-0.019531250
0.036621094,0.046386719,-0.009765625,-0.017089844
0.031738281,0.043945312,-0.012207031,-0.017089844
0.031738281,0.043945312,-0.012207031,-0.019531250
0.031738281,0.046386719,-0.012207031,-0.019531250
0.031738281,0.046386719,-0.007324219,-0.017089844
0.034179688,0.046386719,-0.007324219,-0.019531250
0.036621094,0.043945312,-0.009765625,-0.019531250
0.036621094,0.046386719,-0.004882812,-0.019531250
0.034179688,0.043945312,-0.004882812,-0.019531250
0.031738281,0.043945312,0.002441406,-0.019531250
0.034179688,0.041503906,0.000000000,-0.019531250
0.031738281,0.041503906,0.000000000,-0.019531250
0.034179688,0.046386719,0.002441406,-0.024414062
0.034179688,0.043945312,0.004882812,-0.019531250
0.034179688,0.043945312,0.004882812,-0.021972656
0.034179688,0.041503906,0.004882812,-0.019531250
0.039062500,0.043945312,0.007324219,-0.024414062
0.036621094,0.041503906,0.009765625,-0.019531250
0.036621094,0.041503906,0.007324219,-0.019531250
0.034179688,0.041503906,0.007324219,-0.019531250
0.036621094,0.043945312,0.007324219,-0.017089844
0.034179688,0.043945312,0.007324219,-0.017089844
0.034179688,0.043945312,0.004882812,-0.019531250
0.036621094,0.041503906,0.007324219,-0.019531250
0.036621094,0.041503906,0.009765625,-0.019531250
0.034179688,0.041503906,0.004882812,-0.019531250
0.034179688,0.041503906,0.007324219,-0.017089844
0.034179688,0.041503906,0.004882812,-0.019531250
0.034179688,0.039062500,0.002441406,-0.019531250
0.036621094,0.041503906,0.004882812,-0.019531250
0.031738281,0.041503906,0.004882812,-0.014648438
0.034179688,0.041503906,0.000000000,-0.019531250
